序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2318,003004,*ST声迅,22.2,-1.46,-0.33,7293.0,16207969.0,1.91,22.5,22.07,22.5,22.53,1.07,1.06,-359.14,2.83,1817332404.0,1525880814.0,-0.13,0.0,14.02,-12.56
2319,301087,可孚医疗,44.97,-1.47,-0.67,12996.0,58595051.88,2.26,45.64,44.61,45.64,45.64,0.88,0.67,27.08,1.99,9394098090.0,8735288489.0,-0.13,-0.2,16.2,33.8
2320,000007,全新好,11.39,-1.47,-0.17,97961.0,112254810.88,3.89,11.73,11.28,11.56,11.56,0.9,2.83,865.88,21.6,3946043221.0,3946043221.0,0.09,0.35,64.83,62.02
2321,301310,鑫宏业,43.54,-1.47,-0.65,15045.0,66157487.2,3.24,44.82,43.39,44.05,44.19,1.38,2.99,47.45,2.6,5945580318.0,2187630726.0,0.07,0.02,5.14,74.16
2322,000890,法尔胜,5.37,-1.47,-0.08,437959.0,237482790.4,2.39,5.48,5.35,5.47,5.45,0.55,10.44,-74.22,-406.4,2252736308.0,2252666917.0,-0.19,-0.19,15.24,69.4
2323,301171,易点天下,34.95,-1.47,-0.52,404445.0,1415272394.66,2.65,35.4,34.46,35.0,35.47,1.22,10.62,60.76,4.41,16492412380.0,13312068837.0,0.03,0.09,3.4,24.51
2324,002986,宇新股份,10.75,-1.47,-0.16,16459.0,17856247.12,2.38,11.01,10.75,11.01,10.91,0.66,0.54,-48.24,1.07,4122626634.0,3246815964.0,0.0,-0.19,-2.71,-7.17
2325,300430,诚益通,19.27,-1.48,-0.29,71267.0,137821763.5,2.04,19.56,19.16,19.56,19.56,0.95,2.74,58.18,2.3,5261611759.0,5007390607.0,0.0,0.05,-4.03,26.28
2326,001366,播恩集团,13.33,-1.48,-0.2,23067.0,31010226.0,2.22,13.6,13.3,13.56,13.53,0.79,4.14,-161.27,2.67,2141864400.0,742214400.0,0.08,0.0,8.99,27.32
2327,300507,苏奥传感,9.33,-1.48,-0.14,280816.0,262982710.15,2.53,9.49,9.25,9.43,9.47,0.97,3.62,65.3,3.53,7470035642.0,7230673009.0,0.0,-0.11,-4.8,40.51
2328,300153,科泰电源,29.92,-1.48,-0.45,127118.0,381910587.65,2.21,30.38,29.71,30.3,30.37,0.86,3.99,188.1,10.54,9574400000.0,9524437131.0,0.0,-0.07,-29.27,89.01
2329,300814,中富电路,79.22,-1.48,-1.19,76306.0,606775598.46,4.81,81.6,77.73,81.0,80.41,0.68,3.99,408.34,9.23,15165095057.0,15165095057.0,0.03,0.16,49.22,145.11
2330,300702,天宇股份,23.77,-1.49,-0.36,15564.0,37358985.84,1.95,24.24,23.77,24.01,24.13,0.86,0.74,28.08,2.22,8271417069.0,5019379761.0,-0.04,-0.08,-7.8,43.11
2331,301168,通灵股份,45.62,-1.49,-0.69,22058.0,101575607.2,3.0,46.99,45.6,46.61,46.31,0.9,2.31,91.81,2.53,5474400000.0,4348194388.0,0.02,0.0,1.45,70.41
2332,300625,三雄极光,11.91,-1.49,-0.18,16726.0,20079526.0,2.4,12.18,11.89,12.09,12.09,1.03,1.03,-237.68,1.67,3326832210.0,1929083614.0,0.17,0.0,-0.5,4.84
2333,002249,大洋电机,10.58,-1.49,-0.16,1063428.0,1121942481.53,2.14,10.65,10.42,10.64,10.74,1.22,5.81,22.95,2.64,25840824570.0,19358798939.0,0.0,0.0,-5.96,87.59
2334,300473,德尔股份,29.09,-1.49,-0.44,34922.0,102735309.0,3.83,30.15,29.02,29.53,29.53,1.05,2.32,41.57,2.58,4391807508.0,4378771901.0,-0.03,-0.14,-5.86,16.78
2335,002084,海鸥住工,3.97,-1.49,-0.06,256228.0,102136965.64,2.23,4.05,3.96,4.02,4.03,0.98,3.97,-30.89,1.84,2564842479.0,2559198735.0,0.0,-0.25,10.89,37.85
2336,300381,溢多利,6.62,-1.49,-0.1,81903.0,54566598.83,1.64,6.72,6.61,6.7,6.72,1.29,1.67,133.93,1.26,3250826872.0,3239435924.0,0.0,0.0,-2.07,-4.34
2337,300420,五洋自控,3.95,-1.5,-0.06,214725.0,85163662.5,2.0,4.01,3.93,4.01,4.01,1.19,1.92,85.29,1.87,4409715066.0,4409372601.0,0.0,-0.25,-3.89,27.01
2338,300920,润阳科技,43.86,-1.5,-0.67,30073.0,132821548.85,3.64,45.15,43.53,44.66,44.53,1.28,5.43,115.52,3.7,4386000000.0,2429024300.0,0.3,-0.05,-10.51,160.76
2339,301263,泰恩康,28.3,-1.5,-0.43,34178.0,97256147.14,2.33,28.83,28.16,28.62,28.73,0.62,1.13,287.57,6.94,12041579250.0,8591485357.0,-0.07,-0.07,-17.73,91.35
2340,002689,ST远智,3.26,-1.51,-0.05,222160.0,72821630.95,1.81,3.31,3.25,3.3,3.31,0.83,2.13,61.0,2.79,3401192964.0,3399891568.0,0.0,-0.31,-19.9,-6.59
2341,300371,汇中股份,12.42,-1.51,-0.19,21718.0,27293535.48,2.54,12.73,12.41,12.65,12.61,1.3,1.62,26.81,2.13,2499118816.0,1669376932.0,-0.16,-0.08,-6.41,30.74
2342,300717,华信新材,18.97,-1.51,-0.29,12775.0,24449483.0,2.65,19.42,18.91,19.39,19.26,0.81,1.25,35.83,2.69,1949641750.0,1932158998.0,-0.05,0.16,-3.71,38.16
2343,002186,全 聚 德,11.77,-1.51,-0.18,73098.0,86514355.01,2.26,12.01,11.74,11.93,11.95,0.62,2.38,103.51,4.18,3612467091.0,3607638448.0,0.09,0.09,1.55,1.47
2344,002052,同洲电子,12.32,-1.52,-0.19,168486.0,209319284.14,2.24,12.56,12.28,12.55,12.51,0.78,2.44,29.98,27.85,9270057030.0,8493249750.0,0.08,0.16,-23.57,98.07
2345,301408,华人健康,19.45,-1.52,-0.3,407704.0,800876291.73,4.91,20.19,19.22,19.86,19.75,0.69,27.33,37.23,3.71,7780194500.0,2901381843.0,0.1,-0.05,51.6,77.95
2346,002135,东南网架,4.54,-1.52,-0.07,74053.0,33878783.4,2.39,4.64,4.53,4.61,4.61,0.79,0.71,74.6,0.8,5064451325.0,4739158427.0,-0.22,-0.22,9.13,8.61
2347,300560,中富通,16.82,-1.52,-0.26,162615.0,276048195.0,2.69,17.25,16.79,17.0,17.08,0.83,8.7,180.0,3.98,3864287722.0,3144747684.0,0.0,0.0,22.06,8.66
2348,002963,豪尔赛,14.95,-1.52,-0.23,38510.0,58692832.0,5.34,15.64,14.83,15.21,15.18,1.07,3.37,-64.07,1.74,2247880954.0,1707468682.0,0.13,-0.27,15.8,30.45
2349,301135,瑞德智能,27.3,-1.52,-0.42,16929.0,46652295.0,2.34,27.91,27.26,27.85,27.72,1.04,2.21,89.32,2.23,2783289600.0,2087378475.0,0.0,0.0,-6.44,18.75
2350,301628,强达电路,92.58,-1.52,-1.43,24920.0,231655961.39,2.02,94.01,92.11,93.86,94.01,0.84,7.64,54.33,6.08,6978291564.0,3020311404.0,0.01,0.0,4.06,14.01
2351,002767,先锋电子,21.33,-1.52,-0.33,63313.0,136040874.0,2.08,21.75,21.3,21.75,21.66,0.61,4.86,115.0,3.76,3199500000.0,2777134453.0,-0.09,0.05,11.21,60.98
2352,300536,农尚环境,7.11,-1.52,-0.11,55805.0,39777450.67,1.94,7.2,7.06,7.2,7.22,0.98,1.9,-20.44,4.66,2085278626.0,2085127453.0,-0.14,0.0,-18.37,24.08
2353,300357,我武生物,29.23,-1.52,-0.45,44515.0,130682765.24,2.22,29.72,29.06,29.7,29.68,0.98,0.92,33.28,5.81,15304360320.0,14149196712.0,-0.17,-0.03,2.6,45.42
2354,002281,光迅科技,69.6,-1.53,-1.08,277012.0,1933936705.1,3.04,71.05,68.9,70.0,70.68,0.6,3.55,58.57,5.74,56144632339.0,54251624186.0,0.0,0.01,-2.83,34.08
2355,300069,金利华电,17.43,-1.53,-0.27,21016.0,36949273.0,2.15,17.79,17.41,17.79,17.7,0.99,1.8,210.84,7.22,2039310000.0,2039310000.0,0.0,0.0,-8.36,32.35
2356,300721,怡达股份,12.89,-1.53,-0.2,23996.0,31161212.2,2.37,13.18,12.87,13.1,13.09,0.87,1.73,-17.74,1.88,2124874466.0,1783353013.0,-0.08,-0.08,-7.0,6.09
2357,300787,海能实业,11.48,-1.54,-0.18,50188.0,58046700.06,1.54,11.66,11.48,11.66,11.66,1.26,2.63,30.69,2.39,3598210289.0,2192206932.0,-0.26,-0.26,-16.57,4.17
2358,002301,齐心集团,7.68,-1.54,-0.12,330697.0,253243536.06,3.46,7.8,7.53,7.72,7.8,0.93,4.61,29.59,1.76,5539644925.0,5514164913.0,-0.13,-0.39,21.33,10.19
2359,301099,雅创电子,43.6,-1.54,-0.68,37622.0,165153480.38,2.78,44.59,43.36,44.02,44.28,0.83,4.19,57.95,4.93,6394627877.0,3914424437.0,-0.05,0.09,7.52,36.08
2360,300234,开尔新材,5.13,-1.54,-0.08,83168.0,42870962.56,2.11,5.23,5.12,5.18,5.21,0.93,2.42,94.0,2.24,2581267692.0,1764653536.0,0.0,0.0,-3.39,10.09
2361,300709,精研科技,46.14,-1.54,-0.72,73448.0,339569514.34,2.92,47.1,45.73,46.9,46.86,0.72,4.92,42.72,3.74,8585578061.0,6887920435.0,0.02,0.04,-12.71,15.18
2362,002637,赞宇科技,10.22,-1.54,-0.16,69553.0,71496469.52,2.79,10.42,10.13,10.35,10.38,1.32,1.57,23.92,1.27,4807498220.0,4524630593.0,0.0,0.0,0.49,5.04
2363,300613,富瀚微,45.4,-1.54,-0.71,27917.0,127651006.35,1.82,46.2,45.36,46.07,46.11,0.99,1.27,96.51,3.83,10556129380.0,9956621200.0,-0.09,-0.02,-12.93,-22.23
2364,002749,国光股份,13.93,-1.55,-0.22,27005.0,37735978.78,2.97,14.23,13.81,14.22,14.15,2.43,0.6,17.51,3.63,6496374602.0,6319358876.0,-0.07,-0.07,-2.38,7.82
2365,000042,中洲控股,7.64,-1.55,-0.12,42054.0,32349538.68,2.06,7.79,7.63,7.76,7.76,1.28,0.63,61.94,1.54,5079309902.0,5073962383.0,0.0,0.13,-2.05,70.92
2366,002315,焦点科技,43.17,-1.55,-0.68,36306.0,157389156.5,1.73,43.78,43.02,43.72,43.85,0.66,1.79,24.67,5.23,13695072465.0,8733949817.0,0.02,0.05,-10.92,6.51
2367,000586,汇源通信,13.96,-1.55,-0.22,56089.0,78730432.0,2.4,14.25,13.91,14.2,14.18,0.49,2.9,137.18,7.97,2700422400.0,2700422400.0,0.07,0.14,0.5,46.95
2368,300249,依米康,14.63,-1.55,-0.23,107062.0,157767051.17,1.95,14.88,14.59,14.75,14.86,0.71,2.87,174.82,19.29,6444339352.0,5463208145.0,0.0,0.0,-16.21,14.48
2369,002491,通鼎互联,6.34,-1.55,-0.1,1054262.0,671480752.03,3.73,6.5,6.26,6.45,6.44,0.46,8.96,-89.34,3.14,7798165130.0,7458812642.0,0.0,0.0,15.06,23.35
